Price,Close,High,Low,Open,Volume
Ticker,BAX,BAX,BAX,BAX,BAX
Date,,,,,
2025-01-02,29.260000228881836,29.75,29.030000686645508,29.40999984741211,4014400
2025-01-03,29.5,29.600000381469727,29.079999923706055,29.280000686645508,2821200
2025-01-06,29.65999984741211,30.25,29.389999389648438,29.469999313354492,4164200
2025-01-07,29.579999923706055,29.989999771118164,29.440000534057617,29.719999313354492,4538700
2025-01-08,29.59000015258789,29.899999618530273,29.290000915527344,29.549999237060547,4035700
2025-01-10,29.420000076293945,29.5,29.049999237060547,29.280000686645508,5954500
2025-01-13,30.5,30.93000030517578,29.239999771118164,29.479999542236328,7315200
2025-01-14,30.6200008392334,30.81999969482422,30.280000686645508,30.649999618530273,4608100
2025-01-15,30.209999084472656,31.040000915527344,30.170000076293945,30.809999465942383,4328600
2025-01-16,30.950000762939453,31.200000762939453,30.1200008392334,30.190000534057617,6862500
2025-01-17,30.979999542236328,31.020000457763672,30.510000228881836,31.010000228881836,3877700
2025-01-21,31.479999542236328,31.600000381469727,31.110000610351562,31.170000076293945,6291100
2025-01-22,31.829999923706055,32.27000045776367,31.09000015258789,31.290000915527344,7346900
2025-01-23,32.45000076293945,32.58000183105469,31.790000915527344,31.920000076293945,4224400
2025-01-24,32.45000076293945,32.529998779296875,32.06999969482422,32.310001373291016,3244500
2025-01-27,33.459999084472656,33.58000183105469,32.720001220703125,32.75,4216900
2025-01-28,32.689998626708984,33.560001373291016,32.47999954223633,33.2400016784668,4277100
2025-01-29,32.779998779296875,32.97999954223633,32.63999938964844,32.689998626708984,3844300
2025-01-30,33.099998474121094,33.31999969482422,32.869998931884766,32.95000076293945,3816000
2025-01-31,32.560001373291016,33.2400016784668,32.5,32.91999816894531,3828100
2025-02-03,31.639999389648438,32.02000045776367,30.6299991607666,31.760000228881836,7195000
2025-02-04,31.420000076293945,31.59000015258789,31.219999313354492,31.510000228881836,4198200
2025-02-05,31.469999313354492,31.709999084472656,31.350000381469727,31.68000030517578,2708700
