Price,Close,High,Low,Open,Volume
Ticker,BA,BA,BA,BA,BA
Date,,,,,
2025-01-02,171.8699951171875,179.19000244140625,169.82000732421875,178.30999755859375,12450000
2025-01-03,169.89999389648438,173.97999572753906,169.8000030517578,171.39999389648438,10513800
2025-01-06,170.77999877929688,173.94000244140625,170.19000244140625,173.5,11133400
2025-01-07,172.50999450683594,175.02000427246094,170.8000030517578,171.1699981689453,7045000
2025-01-08,171.75999450683594,173.77999877929688,169.61000061035156,171.14999389648438,5108700
2025-01-10,172.0,173.5399932861328,167.41000366210938,171.49000549316406,7556800
2025-01-13,170.57000732421875,172.5,167.91000366210938,171.17999267578125,6049600
2025-01-14,167.02000427246094,171.8800048828125,164.6199951171875,171.3699951171875,7966900
2025-01-15,166.1999969482422,169.99000549316406,165.97000122070312,169.00999450683594,6451000
2025-01-16,168.92999267578125,170.63999938964844,166.57000732421875,166.7899932861328,5812300
2025-01-17,171.08999633789062,171.77000427246094,169.4499969482422,169.8000030517578,9557100
2025-01-21,175.55999755859375,177.08999633789062,171.92999267578125,172.3800048828125,8755300
2025-01-22,174.8000030517578,176.22999572753906,173.8800048828125,175.2899932861328,5134400
2025-01-23,178.5,178.6699981689453,173.75,174.00999450683594,7097300
2025-01-24,176.05999755859375,180.42999267578125,174.3699951171875,176.0,9304200
2025-01-27,175.16000366210938,178.17999267578125,174.39999389648438,175.5500030517578,7148600
2025-01-28,177.77999877929688,188.47999572753906,174.02000427246094,181.30999755859375,22768900
2025-01-29,173.66000366210938,182.5500030517578,170.64999389648438,179.1300048828125,12263500
2025-01-30,179.52999877929688,179.94000244140625,173.72000122070312,174.58999633789062,6996300
2025-01-31,176.52000427246094,181.77999877929688,175.74000549316406,180.50999450683594,6116200
2025-02-03,175.8699951171875,178.1999969482422,173.1300048828125,174.11000061035156,6501700
2025-02-04,176.22999572753906,177.4499969482422,174.25,176.89999389648438,4503600
2025-02-05,181.83999633789062,181.86000061035156,175.50999450683594,176.0,7430400
